Epoch: 209, Training Error: 0,00292, Validation Error: 0,00335
Epoch: 210, Training Error: 0,00291, Validation Error: 0,00334
Epoch: 211, Training Error: 0,00290, Validation Error: 0,00333
Epoch: 212, Training Error: 0,00289, Validation Error: 0,00331
Epoch: 213, Training Error: 0,00288, Validation Error: 0,00330
Epoch: 214, Training Error: 0,00287, Validation Error: 0,00329
Epoch: 215, Training Error: 0,00286, Validation Error: 0,00328
Epoch: 216, Training Error: 0,00285, Validation Error: 0,00326
Epoch: 217, Training Error: 0,00283, Validation Error: 0,00325
Epoch: 218, Training Error: 0,00282, Validation Error: 0,00324
Epoch: 219, Training Error: 0,00281, Validation Error: 0,00323
Epoch: 220, Training Error: 0,00280, Validation Error: 0,00322
Epoch: 221, Training Error: 0,00279, Validation Error: 0,00321
Epoch: 222, Training Error: 0,00278, Validation Error: 0,00319
Epoch: 223, Training Error: 0,00277, Validation Error: 0,00318
Epoch: 224, Training Error: 0,00276, Validation Error: 0,00317
Epoch: 225, Training Error: 0,00275, Validation Error: 0,00316
Epoch: 226, Training Error: 0,00274, Validation Error: 0,00315
Epoch: 227, Training Error: 0,00273, Validation Error: 0,00314
Epoch: 228, Training Error: 0,00273, Validation Error: 0,00313
Epoch: 229, Training Error: 0,00272, Validation Error: 0,00312
Epoch: 230, Training Error: 0,00271, Validation Error: 0,00311
Epoch: 231, Training Error: 0,00270, Validation Error: 0,00310
Epoch: 232, Training Error: 0,00269, Validation Error: 0,00309
Epoch: 233, Training Error: 0,00268, Validation Error: 0,00308
Epoch: 234, Training Error: 0,00267, Validation Error: 0,00307
Epoch: 235, Training Error: 0,00266, Validation Error: 0,00306
Epoch: 236, Training Error: 0,00265, Validation Error: 0,00305
Epoch: 237, Training Error: 0,00264, Validation Error: 0,00304
Epoch: 238, Training Error: 0,00263, Validation Error: 0,00303
Epoch: 239, Training Error: 0,00263, Validation Error: 0,00302
Epoch: 240, Training Error: 0,00262, Validation Error: 0,00301
Epoch: 241, Training Error: 0,00261, Validation Error: 0,00300
Epoch: 242, Training Error: 0,00260, Validation Error: 0,00299
Epoch: 243, Training Error: 0,00259, Validation Error: 0,00298
Epoch: 244, Training Error: 0,00258, Validation Error: 0,00298
Epoch: 245, Training Error: 0,00257, Validation Error: 0,00297
Epoch: 246, Training Error: 0,00257, Validation Error: 0,00296
Epoch: 247, Training Error: 0,00256, Validation Error: 0,00295
Epoch: 248, Training Error: 0,00255, Validation Error: 0,00294
Epoch: 249, Training Error: 0,00254, Validation Error: 0,00293
Epoch: 250, Training Error: 0,00253, Validation Error: 0,00292
Epoch: 251, Training Error: 0,00253, Validation Error: 0,00291
Epoch: 252, Training Error: 0,00252, Validation Error: 0,00291
Epoch: 253, Training Error: 0,00251, Validation Error: 0,00290
Epoch: 254, Training Error: 0,00250, Validation Error: 0,00289
Epoch: 255, Training Error: 0,00249, Validation Error: 0,00288
Epoch: 256, Training Error: 0,00249, Validation Error: 0,00287
Epoch: 257, Training Error: 0,00248, Validation Error: 0,00287
Epoch: 258, Training Error: 0,00247, Validation Error: 0,00286
Epoch: 259, Training Error: 0,00246, Validation Error: 0,00285
Epoch: 260, Training Error: 0,00246, Validation Error: 0,00284
Epoch: 261, Training Error: 0,00245, Validation Error: 0,00283
